iter	Accuracy	Logloss
0	0.7242857143	0.6654707644
1	0.7248571429	0.642750055
2	0.7266964286	0.6239540985
3	0.7267678571	0.609430589
4	0.7265714286	0.597553814
5	0.7270892857	0.5882921939
6	0.7271607143	0.5804025273
7	0.7272857143	0.5738853237
8	0.7276071429	0.5687203737
9	0.7281607143	0.564347682
10	0.7286071429	0.5607352037
11	0.72975	0.5577175306
12	0.7309821429	0.5552896176
13	0.7316785714	0.5529059791
14	0.7322678571	0.5511727117
15	0.7324821429	0.5493800152
16	0.7324107143	0.5481247081
17	0.7330178571	0.5467957435
18	0.7330892857	0.5456671866
19	0.7335714286	0.5447707466
20	0.7332857143	0.5439560964
21	0.7334464286	0.5433528644
22	0.734125	0.5427469329
23	0.7339642857	0.5422099181
24	0.7340357143	0.5416207915
25	0.7347857143	0.541109682
26	0.7346785714	0.5407045191
27	0.7351607143	0.5403078177
28	0.7353571429	0.5399208909
29	0.7356071429	0.539576015
30	0.7355892857	0.5392985625
31	0.7354107143	0.5390624523
32	0.7357142857	0.5387905179
33	0.7357142857	0.5385966906
34	0.7356964286	0.5384226229
35	0.7359821429	0.5382122803
36	0.7358214286	0.5380500533
37	0.735875	0.5378486551
38	0.7363392857	0.5376338174
39	0.7365	0.5373978479
40	0.7363035714	0.5372061693
41	0.7365714286	0.5370675663
42	0.7365178571	0.5369085758
43	0.7366071429	0.5367252934
44	0.7365357143	0.5366045682
45	0.7365357143	0.5364520035
46	0.7364821429	0.5363109513
47	0.7366964286	0.536118614
48	0.7366785714	0.5359824837
49	0.7367857143	0.5358085469
50	0.7369285714	0.5357238646
51	0.7370892857	0.5355993043
52	0.7371428571	0.5355252087
53	0.7370714286	0.5354525648
54	0.7369107143	0.5353482768
55	0.7370357143	0.5352020861
56	0.7371785714	0.5350838526
57	0.7371071429	0.5349992352
58	0.7370714286	0.5349021138
59	0.7370357143	0.5347533466
60	0.7371071429	0.5345681828
61	0.7370357143	0.5345181956
62	0.7371785714	0.534451326
63	0.7374821429	0.5343403846
64	0.7374107143	0.5342294254
65	0.7372142857	0.5341427094
66	0.7373214286	0.5340469973
67	0.7374107143	0.533936892
68	0.737625	0.5337895699
69	0.73775	0.5336792074
70	0.7378035714	0.5336435193
71	0.7377142857	0.5335283292
72	0.7377142857	0.5334576898
73	0.7378928571	0.5333900121
74	0.73775	0.5333358254
