iter	Passed	Remaining
0	55	27834
1	63	15795
2	70	11605
3	75	9417
4	81	8091
5	89	7328
6	95	6759
7	103	6359
8	109	5994
9	115	5676
10	121	5411
11	128	5215
12	135	5074
13	142	4933
14	148	4815
15	155	4701
16	162	4623
17	169	4532
18	176	4460
19	182	4375
20	188	4305
21	194	4235
22	201	4186
23	208	4140
24	215	4098
25	222	4048
26	228	4008
27	235	3966
28	241	3929
29	248	3887
30	254	3854
31	261	3822
32	268	3793
33	274	3765
34	280	3727
35	287	3700
36	293	3675
37	300	3649
38	306	3623
39	315	3628
40	322	3614
41	328	3585
42	335	3564
43	341	3542
44	349	3532
45	355	3507
46	362	3492
47	368	3471
48	374	3449
49	381	3430
50	387	3414
51	394	3397
52	400	3380
53	407	3362
54	413	3344
55	420	3333
56	426	3318
57	433	3301
58	438	3280
59	446	3273
60	453	3266
61	459	3249
62	466	3233
63	472	3219
64	478	3203
65	485	3190
66	491	3176
67	498	3164
68	504	3153
69	510	3138
70	517	3123
71	523	3112
72	529	3099
73	536	3089
74	542	3074
75	548	3061
76	555	3050
77	562	3040
78	568	3027
79	574	3013
80	580	3000
81	586	2991
82	593	2980
83	599	2969
84	605	2957
85	612	2949
86	618	2937
87	624	2925
88	631	2913
89	637	2906
90	644	2897
91	651	2891
92	658	2882
93	664	2871
94	670	2859
95	677	2849
96	683	2839
97	689	2829
98	696	2819
99	702	2808
100	708	2798
101	715	2791
102	722	2782
103	728	2773
104	734	2764
105	741	2755
106	747	2746
107	754	2737
108	761	2729
109	767	2720
110	774	2713
111	780	2704
112	786	2693
113	792	2684
114	799	2675
115	805	2667
116	812	2658
117	818	2650
118	824	2640
119	831	2632
120	837	2622
121	844	2615
122	850	2607
123	857	2599
124	863	2591
125	870	2582
126	876	2573
127	882	2565
128	888	2556
129	895	2549
130	902	2541
131	909	2534
132	915	2525
133	922	2520
134	928	2511
135	936	2506
136	942	2497
137	949	2490
138	956	2484
139	963	2477
140	970	2470
141	977	2464
142	983	2456
143	991	2451
144	998	2445
145	1005	2437
146	1011	2429
147	1019	2423
148	1026	2417
149	1033	2410
150	1040	2403
151	1047	2397
152	1053	2390
153	1061	2384
154	1068	2377
155	1075	2372
156	1081	2362
157	1088	2356
158	1095	2350
159	1103	2344
160	1109	2336
161	1116	2329
162	1124	2324
163	1131	2318
164	1137	2309
165	1144	2301
166	1150	2294
167	1157	2287
168	1164	2280
169	1171	2273
170	1177	2266
171	1184	2259
172	1192	2254
173	1200	2249
174	1207	2243
175	1214	2235
176	1221	2228
177	1227	2219
178	1233	2212
179	1240	2205
180	1246	2197
181	1254	2192
182	1262	2186
183	1268	2179
184	1274	2170
185	1281	2162
186	1287	2154
187	1293	2146
188	1300	2140
189	1307	2133
190	1314	2126
191	1320	2118
192	1327	2111
193	1333	2103
194	1340	2097
195	1346	2089
196	1352	2080
197	1358	2072
198	1365	2064
199	1371	2057
200	1377	2049
201	1384	2042
202	1390	2035
203	1397	2027
204	1403	2019
205	1409	2012
206	1416	2004
207	1423	1997
208	1430	1991
209	1436	1983
210	1442	1975
211	1449	1969
212	1455	1961
213	1462	1954
214	1469	1947
215	1475	1940
216	1482	1933
217	1488	1925
218	1495	1918
219	1501	1911
220	1507	1903
221	1513	1895
222	1520	1888
223	1526	1880
224	1532	1873
225	1539	1865
226	1544	1857
227	1551	1850
228	1557	1843
229	1563	1835
230	1569	1827
231	1576	1820
232	1582	1813
233	1589	1806
234	1595	1799
235	1601	1791
236	1608	1784
237	1613	1776
238	1620	1769
239	1626	1761
240	1631	1753
241	1638	1746
242	1644	1739
243	1650	1731
244	1656	1724
245	1663	1717
246	1669	1709
247	1675	1703
248	1682	1696
249	1689	1689
250	1695	1681
251	1701	1674
252	1707	1666
253	1713	1659
254	1718	1651
255	1725	1644
256	1732	1637
257	1738	1630
258	1746	1625
259	1752	1617
260	1759	1611
261	1766	1604
262	1772	1597
263	1778	1590
264	1785	1583
265	1792	1576
266	1799	1570
267	1805	1562
268	1811	1555
269	1818	1548
270	1825	1542
271	1831	1535
272	1838	1528
273	1843	1520
274	1851	1514
275	1857	1507
276	1863	1500
277	1870	1493
278	1875	1485
279	1882	1478
280	1888	1471
281	1894	1464
282	1900	1457
283	1906	1450
284	1912	1442
285	1918	1435
286	1924	1428
287	1930	1420
288	1936	1413
289	1942	1406
290	1948	1399
291	1954	1392
292	1960	1384
293	1966	1377
294	1972	1370
295	1978	1363
296	1985	1356
297	1991	1349
298	1997	1342
299	2003	1335
300	2009	1328
301	2016	1321
302	2022	1314
303	2029	1308
304	2035	1301
305	2042	1294
306	2048	1287
307	2054	1280
308	2061	1274
309	2067	1266
310	2074	1260
311	2081	1254
312	2087	1247
313	2094	1240
314	2100	1233
315	2106	1226
316	2112	1219
317	2119	1212
318	2124	1205
319	2131	1198
320	2137	1191
321	2143	1185
322	2149	1178
323	2156	1171
324	2162	1164
325	2168	1157
326	2174	1150
327	2180	1143
328	2187	1136
329	2193	1130
330	2200	1123
331	2206	1116
332	2212	1109
333	2218	1102
334	2225	1095
335	2231	1088
336	2236	1081
337	2243	1075
338	2249	1068
339	2255	1061
340	2262	1054
341	2268	1047
342	2274	1041
343	2281	1034
344	2288	1028
345	2296	1021
346	2303	1015
347	2309	1008
348	2316	1002
349	2323	995
350	2330	989
351	2337	983
352	2345	976
353	2352	970
354	2359	963
355	2365	956
356	2372	950
357	2379	943
358	2386	937
359	2394	931
360	2400	924
361	2407	917
362	2414	911
363	2421	904
364	2429	898
365	2435	891
366	2442	885
367	2449	878
368	2455	871
369	2462	865
370	2469	858
371	2476	852
372	2483	845
373	2488	838
374	2496	832
375	2503	825
376	2510	818
377	2517	812
378	2523	805
379	2530	799
380	2537	792
381	2544	786
382	2551	779
383	2559	773
384	2567	766
385	2574	760
386	2580	753
387	2587	746
388	2593	740
389	2601	733
390	2607	727
391	2615	720
392	2622	714
393	2629	707
394	2635	700
395	2642	694
396	2649	687
397	2656	680
398	2663	674
399	2669	667
400	2676	660
401	2682	653
402	2689	647
403	2695	640
404	2701	633
405	2707	626
406	2714	620
407	2720	613
408	2726	606
409	2733	600
410	2740	593
411	2747	586
412	2754	580
413	2762	573
414	2768	567
415	2776	560
416	2782	553
417	2790	547
418	2797	540
419	2802	533
420	2809	527
421	2817	520
422	2823	514
423	2830	507
424	2838	500
425	2845	494
426	2852	487
427	2858	480
428	2865	474
429	2872	467
430	2880	461
431	2888	454
432	2895	448
433	2902	441
434	2908	434
435	2915	427
436	2921	421
437	2928	414
438	2935	407
439	2942	401
440	2949	394
441	2956	387
442	2962	381
443	2969	374
444	2976	367
445	2982	361
446	2989	354
447	2996	347
448	3001	340
449	3007	334
450	3014	327
451	3020	320
452	3026	314
453	3032	307
454	3038	300
455	3045	293
456	3051	287
457	3057	280
458	3063	273
459	3069	266
460	3076	260
461	3082	253
462	3089	246
463	3095	240
464	3101	233
465	3108	226
466	3114	220
467	3120	213
468	3126	206
469	3133	199
470	3139	193
471	3146	186
472	3152	179
473	3158	173
474	3164	166
475	3170	159
476	3177	153
